76;PDG10000;PADANG;2021-07-02;2021-07-02
77;PDG20100;BATUSANGKAR;2021-07-02;2021-07-02
78;PDG20300;LUBUKSIKAPING,KAB,PASAMAN;2021-07-02;2021-07-02
79;PDG20600;PARIAMAN,KAB.PADANG PARIAMAN;2021-07-02;2021-07-02
80;PDG20700;PAYAKUMBUH;2021-07-02;2021-07-02
81;PDG20800;SAWAHLUNTO;2021-07-02;2021-07-02
82;PDG20900;SOLOK;2021-07-02;2021-07-02
83;PDG21100;PADANGPANJANG;2021-07-02;2021-07-02
84;TKG20200;KOTABUMI, KAB.LAMPUNG UTARA;2021-07-02;2021-07-02
85;TKG20300;METRO, KOTA METRO;2021-07-02;2021-07-02
86;TNJ10000;TANJUNGPINANG;2021-07-02;2021-07-02
87;TRK10000;TARAKAN;2021-07-02;2021-07-02
88;TRK20100;TANJUNG SELOR, KAB BULUNGAN;2021-07-02;2021-07-02
89;UPG10000;MAKASAR;2021-07-02;2021-07-02
90;UPG20200;BARRU,KAB.BARRU;2021-07-02;2021-07-02
91;UPG20300;BULUKUMBA;2021-07-02;2021-07-02
92;UPG20400;ENREKANG,KAB.ENREKANG;2021-07-02;2021-07-02
93;UPG20500;JENEPONTO,KAB.JENEPONTO;2021-07-02;2021-07-02
94;UPG20600;MAKALE,KAB.TANA TORAJA;2021-07-02;2021-07-02
95;UPG20700;MAMUJU,MAMUJU;2021-07-02;2021-07-02
96;UPG20800;MAROS;2021-07-02;2021-07-02
97;UPG20900;MAJENE,MAJENE;2021-07-02;2021-07-02
98;UPG21000;PALOPO;2021-07-02;2021-07-02
99;UPG21100;PINRANG;2021-07-02;2021-07-02
100;UPG21208;WONOMULYO,POLEWALI MANDAR;2021-07-02;2021-07-02
101;UPG21300;SIDENRENG,KAB.SIDENRENG;2021-07-02;2021-07-02
102;UPG21500;SINJAI;2021-07-02;2021-07-02
103;UPG21700;TAKALAR;2021-07-02;2021-07-02
104;UPG21800;WATAMPONE,KAB.BONE;2021-07-02;2021-07-02
105;UPG21900;WATANSOPPENG;2021-07-02;2021-07-02
106;UPG22000;BENTENG,KAB.SELAYAR;2021-07-02;2021-07-02
107;UPG22100;PANGKAJENE,KEP.PANGKAJENE;2021-07-02;2021-07-02
108;BDO20700;GARUT, KAB. GARUT;2021-07-02;2021-07-02
109;BDJ10500;BANJARBARU;2021-07-02;2021-07-02
110;SMD20108;KOTA BANGUN,TENGGARONG;2021-07-02;2021-07-02
111;SMI10000;SUKABUMI;2021-07-02;2021-07-02
112;BTH10403;KUNDUR, KAB. KARIMUN;2021-07-02;2021-07-02
113;SMI10007;CICURUG,SUKABUMI;2021-07-02;2021-07-02
114;SMI10014;CIKEMBAR,SUKABUMI;2021-07-02;2021-07-02
115;SMI10023;JAMPANG KULON,SUKABUMI;2021-07-02;2021-07-02
116;SMI10024;JAMPANG TENGAH,SUKABUMI;2021-07-02;2021-07-02
117;SMI10034;PARUNGKUDA,SUKABUMI;2021-07-02;2021-07-02
118;SMI10036;PELABUHANRATU,SUKABUMI;2021-07-02;2021-07-02
119;SMI10038;SAGARANTEN,SUKABUMI;2021-07-02;2021-07-02
120;SOC10000;SOLO;2021-07-02;2021-07-02
